Bussines Type,Bussines Name,Bussines Description,Bussines Address,Bussines Hours ,Bussines Phone ,Bussines Website ,Bussines Rating,Bussines Reviews
Bank,Bank Of Punjab Chakora Branch,Not Available,"WRH4+4XV, Chakwal District Complex Chakwal, Punjab, Pakistan",Open ⋅ Closes 4PM,Not Available,Not Available,3.2,5
Bank,MCB Bank Limited,Not Available,"WVJ3+XMW, Talagang Hwy, Chakwal, Punjab, Pakistan",Open ⋅ Closes 12:30PM ⋅ Reopens 2:30PM,+92 543 600684,http://mcb.com.pk/,4.5,2
Bank,NBP,Not Available,"WRH5+66J, Talagang Hwy, Odherwal, Chakwal, Punjab 48326, Pakistan",Open now,Not Available,Not Available,3.9,8
ATM,UBL ATM,Not Available,"PMP8+R64, Unnamed Road, Kalar Kahar Cantt Chakwal, Punjab, Pakistan",Open 24 hours,Not Available,Not Available,4,2
ATM,MCB-ATM,Not Available,"PRH5+FW5, Chakwal, Punjab, Pakistan",Open 24 hours,+92 543 650015,Not Available,5,1
Bank,National Bank of Pakistan (NBP) Islamic,Not Available,"WVM3+79H, Chakwal, Punjab, Pakistan",Open ⋅ Closes 4:30PM,+92 543 542175,http://www.nbp.com.pk/,4.2,6
Bank,FINCA Microfinance Bank Limited,Not Available,"WVM3+2V8, Saddar Ahata St, Chakwal, Punjab, Pakistan",Open now,Not Available,http://www.finca.pk/,5,1
Bank,United Bank - UBL,Not Available,"WVM6+396, Talagang Hwy, Chakwal, Punjab, Pakistan",Open ⋅ Closes 5PM,+92 543 554148,Not Available,3.5,25
ATM,Allied Bank ATM,Not Available,"WRJQ+RPM, Chakwal, Punjab, Pakistan",Open ⋅ Closes 5PM,Not Available,Not Available,4.6,7
Bank,MCB Bank,Not Available,"WJVX+F3J, Chakwal-Talagang Rd, Balkasar, Punjab, Balkasar, Chakwal, Punjab, Pakistan",Open now,Not Available,https://www.mcb.com.pk/,5,2
Bank,HBL Odherwal Chowk Branch,Not Available,"WRJ8+CXF, Chakwal-Talagang Rd, Oudharwal, Punjab, Odherwal, Chakwal, Punjab, Pakistan",Open ⋅ Closes 5PM,+92 543 550698,Not Available,3.6,7
Bank,Bank Islami,Not Available,"WVH7+FXV, Jhelum Rd, Chakwal, Punjab, Pakistan",Open ⋅ Closes 5PM,+92 543 552742,http://bankislami.com.pk/,3.3,22
Bank,MCB Bank,Not Available,"PM55+CGG, Miani Adda, Chakwal, Punjab, Pakistan",Open ⋅ Closes 5PM,Not Available,Not Available,3,2
Bank,Summit Bank Dalwal,Not Available,"3 Dalwal Rd, Dalwal, Chakwal, Punjab, Pakistan",Open ⋅ Closes 5PM,Not Available,Not Available,5,5
Bank,Apna Bank (0194),Not Available,"WVJ4+QF2, Bhoun Rd, Chakwal, Punjab, Pakistan",Open now,Not Available,Not Available,Not Available,Not Available
ATM,"Allied Bank Murid Branch, Chakwal",Not Available,"WQ95+246, Murid, Chakwal, Punjab, Pakistan",Open ⋅ Closes 2PM,Not Available,Not Available,4.5,2
Bank,Habib Metro Bank,Not Available,"WVM7+67C, Chakwal, Punjab, Pakistan",Open ⋅ Closes 5PM,+92 21 111 141 414,http://habibmetro.com/,4.7,3
Bank,Taqwa Islamic Bank BOP Pindi Road Chakwal,Not Available,"Rawalpindi Rd, Chakwal, Punjab 48800, Pakistan",Open now,+92 543 553326,Not Available,Not Available,Not Available
Mobile money agent,Soban Mobile,Not Available,"PRM5+PXQ, Choa Saidan Shah Road, Kallar Kahar, Chakwal, Punjab, Pakistan",Open ⋅ Closes 9PM,+92 343 5080243,Not Available,5,6
School,Dar.e.Arqam,Not Available,"QPJ2+GCQ, Kallar Kahar, Chakwal, Punjab, Pakistan",Not Available,Not Available,Not Available,5,1
Bank,Pak Oman Microfinance Bank,Not Available,"WVF8+V9Q, Jhelum Rd, Chakwal, Punjab 48800, Pakistan",Open ⋅ Closes 5:30PM,+92 543 553495,Not Available,4,2
Bank,United Bank Limited,Not Available,"PM55+8CJ, Ada Rd, Mohalla Miana Mianwali, Chakwal, Punjab, Pakistan",Open ⋅ Closes 5PM,+92 543 586329,Not Available,4.4,7
Savings bank,DUBAI ISLAMIC BANK CHAKWAL,Not Available,"WVM2+3V8, Talagang Hwy, Chakwal, Punjab, Pakistan",Open ⋅ Closes 5PM,+92 543 544115,Not Available,4.8,5
Bank,United Bank Limited,Not Available,"WJVV+GW6, Balkasar, Chakwal, Punjab, Pakistan",Open ⋅ Closes 5PM,Not Available,Not Available,4.9,8
Bank,sadwal,Not Available,"VRMJ+P8X, Sadwal, Chakwal, Punjab, Pakistan",Open now,Not Available,Not Available,4.3,4
ATM,MCB ATM,Not Available,"PRM7+4JM, Chakwal, Punjab, Pakistan",Open 24 hours,Not Available,https://www.mcb.com.pk/,4,3
ATM,Bank Alfalah,Not Available,"WVM7+866, Chakwal, Punjab, Pakistan",Open 24 hours,Not Available,http://www.bankalfalah.com/,3.4,7
Bank,Bank of Punjab,Not Available,"PM56+63Q, Miani Adda, Chakwal, Punjab, Pakistan",Open ⋅ Closes 5PM,Not Available,Not Available,4.5,2
Bank,Bank Of Punjab,Not Available,"WVM3+454, Chakwal, Punjab, Pakistan",Open ⋅ Closes 5PM,Not Available,Not Available,3.3,9
Cell phone accessory store,A.M MOBILE and easypaisa center,Not Available,"main chock, Choa Saidan Shah Road, k. K Kallar Kahar, Chakwal, Punjab 46000, Pakistan",Open 24 hours,+92 333 5537416,Not Available,4.3,3
ATM,Meezan Bank ATM,Not Available,"WVM5+2FX, Chakwal, Punjab, Pakistan",Open 24 hours,Not Available,Not Available,Not Available,Not Available
Bank,United Bank Limited,Not Available,"VRMJ+P8Q, Vill. & P.O. Sadwal, Teh. & Dist, Sadwal, Chakwal, Punjab, Pakistan",Open ⋅ Closes 5PM,Not Available,Not Available,Not Available,Not Available
Bank,Shahyan Mobile,Not Available,"WJVW+J38, Talagang - Chakwal Road, near ubl bank, Balkasar, Chakwal, Punjab, Pakistan",Open now,Not Available,https://shahyan-mobile.business.site/?utm_source=gmb&utm_medium=referral,5,1
ATM,HBL ATM,Not Available,"MJPG+WC7, Buchal Kalan Road, Buchal Kalān, Chakwal, Punjab 48800, Pakistan",Open 24 hours,+92 543 587300,Not Available,3.5,2
ATM,MCB ATM,Not Available,"PRH5+2QF, Chakwal, Punjab, Pakistan",Open 24 hours,+92 543 650059,Not Available,4.3,3
College,Kallar Kahar Science College,Not Available,"Chakwal, Punjab, Pakistan",Open ⋅ Closes 1:30PM,+92 321 5919629,Not Available,4.1,75
