Bussines Type,Bussines Name,Bussines Description,Bussines Address,Bussines Hours ,Bussines Phone ,Bussines Website ,Bussines Rating,Bussines Reviews
Tourist attraction,PAF Aircraft,Not Available,"WRMX+HRV, Chakwal, Punjab, Pakistan",Open 24 hours,Not Available,Not Available,5,2
School,Air Foundation School System,Not Available,"Talagang Hwy, Odherwal, Chakwal, Punjab, Pakistan",Closed ⋅ Opens 8AM Sat,+92 310 5980134,http://airfoundation.com.pk/,4.5,4
Mosque,مسجد عبدالرحمن,Not Available,"RM27+FQ5, Kallar Kahar, Chakwal, Punjab, Pakistan",Not Available,Not Available,Not Available,5,1
Hotel,O Lahore One Hotel,Not Available,"QP95+634, Unnamed Rd, Kallar Kahar,،, Kallar Kahar, Chakwal, Punjab, Pakistan",Not Available,+92 300 4721999,Not Available,4.7,10
Hotel,Mianwali Hotel & Restaurant Kallar Kahar,Not Available,"Mianwali Hotel & Restaurant, Main Khushab Road, near to Kallar Kahar, Kallar Kahar, Chakwal, Punjab 48530, Pakistan",Not Available,+92 336 7440062,https://mianwali-hotel-restaurant-kallar-kahar.business.site/?m=true#details,3.5,26
Guest house,District Govt Guest House,Not Available,"QM9X+VQG, Kallar Kahar, Chakwal, Punjab, Pakistan",Not Available,+92 333 5928478,Not Available,4.2,32
Hotel,Hotel Grand Imperial,Not Available,"QPH8+47G, Kallar Kahar, Chakwal, Punjab, Pakistan",Not Available,+92 543 588513,Not Available,4,550
Restaurant,Zam zam restaurant,Not Available,"Kallar Kahar Service Area South،, Lahore-Islamabad Motorway, Kallar Kahar, Pakistan",Not Available,+92 308 8510057,Not Available,3.5,383
School,Air Foundation School System Balkassar Campus,Not Available,"Balkasar, Chakwal, Punjab, Pakistan",Not Available,+92 543 569182,Not Available,5,2
Sports club,Paragliding Trike Flying Base,Not Available,"PVMJ+VP4, روڈ, Arar, Chakwal, Punjab, Pakistan",Not Available,+92 310 7353555,Not Available,4.8,8
Airport,Chaklala Airport,Not Available,"J453+GG9, Old Airport Rd, Chaklala Cantt., Rawalpindi, Punjab 46000, Pakistan",Not Available,Not Available,Not Available,4.3,84
Education center,Shaheen air force,Not Available,"Ali Baba Hotel, pindi road madni chowk, Talagang, Chakwal, Punjab, Pakistan",Not Available,+92 348 5489884,Not Available,Not Available,Not Available
Not Available,Mohalla Usmania,Not Available,"Kallar Kahar, Chakwal, Punjab, Pakistan",Not Available,Not Available,Not Available,Not Available,Not Available
School,Shaheen Air Force Acadmy Chakwal,Not Available,"WRHM+F9V, Mohalla Sargogra Garbi tala gang road, Chakwal, Punjab, Pakistan",Not Available,+92 317 5992757,Not Available,Not Available,Not Available
Convenience store,C Mart,Not Available,"M2 Service Area, Kallar Kahar North, Chakwal District, Punjab, Pakistan",Open 24 hours,Not Available,Not Available,2,3
Bus stop,Murid Turning Bus Stop,Not Available,"Talagang - Chakwal Road, Mitwanan Pind, Chakwal, Punjab, Pakistan",Not Available,Not Available,Not Available,5,1
Club,Fly ventures” Microlight & Paraglider trikes flying club,Not Available,"Chok Dhatha Koat, Road Kalar Kahar Rd, Choa Saidan Shah, Chakwal, Punjab 48320, Pakistan",Open ⋅ Closes 6:30PM,+92 311 4646373,Not Available,4.6,10
Supermarket,Shopping Mart Kallar Kahar,Not Available,"QPJ8+RJX, Unnamed Road, Kallar Kahar, Chakwal, Punjab, Pakistan",Not Available,Not Available,Not Available,4.4,9
School,AIR Foundation School System,Not Available,"WVW5+W9W, Ashraf Town Rd, Chakwal, Punjab, Pakistan",Closed ⋅ Opens 8AM Sat,+92 543 552499,Not Available,3.9,9
Airline,Turkish Airlines Islamabad City Office,Not Available,"13-N, 1st Floor, Turkish Airlines, Bhittai Rd, opposite Armani Collezioni, F-7 Markaz F 7 Markaz F-7, Islamabad, Islamabad Capital Territory 44000, Pakistan",Closed ⋅ Opens 10AM Mon,+92 51 8494949,http://www.turkishairlines.com/en-pk/,3.6,441
Public bathroom,Hascol Leisure Washrooms,Not Available,"QPJ8+QF2, Chakwal, Punjab, Pakistan",Not Available,Not Available,Not Available,4.3,7
Bus ticket agency,Al Mustafa Daewoo Bus Service,Not Available,"WCGJ+RHJ, Sabzi Market Rd, Talagang, Chakwal, Punjab, Pakistan",Not Available,+92 301 5002408,Not Available,5,2
Travel agency,syeds air travels,Not Available,"WVM4+4RG, Talagang Hwy, Chakwal, Punjab, Pakistan",Not Available,+92 333 5782009,Not Available,4,2
Mosque,Khadija-Tul-Kubra,Not Available,"WPHQ+G8H, Talagang Hwy, Chakwal, Punjab, Pakistan",Not Available,Not Available,Not Available,Not Available,Not Available
International airport,lslamabad International Airport,Not Available,"New Islamabad, Airport Road, Islamabad, Rawalpindi, Islamabad Capital Territory, Pakistan",Not Available,+92 51 95550211,http://www.islamabadairport.com.pk/,4.4,25660
International airport,Sialkot International Airport,Not Available,"14 km (8.7 mi) west of, Sialkot Airport Rd, Sialkot, Pakistan",Not Available,+92 52 111 742 575,https://www.sial.com.pk/,4.2,4065
Travel agency,Pak Travel Center,Not Available,"Office # 2 Ejaz Plaza, Talagang Hwy, Chakwal, Punjab, Pakistan",Closed ⋅ Opens 9:30AM Sat,+92 543 551229,Not Available,5,2
Cottage village,Cliff Side Village,Not Available,"QM7W+Q7V, Khushab Road, Kallar Kahar, Chakwal, Punjab, Pakistan",Not Available,+92 332 5552029,Not Available,3.8,51
Auto parts store,Madni Autos,Not Available,"QPM4+F83, Kallar Kahar Road, Chakara, Chakwal, Punjab 48326, Pakistan",Not Available,+92 333 5788160,Not Available,4.6,5
Mechanic,AL KARAM TIRE SHOP,Not Available,"4, Kallar Kahar, Pakistan",Not Available,+92 334 8700772,Not Available,4.2,15
Mechanic,Madina Auto Workshop,Not Available,"near quetta namkeen al naqeeb hotel / grand imperial hotel, Kallar Kahar, Chakwal, Punjab 48530, Pakistan",Open 24 hours,+92 314 3969042,Not Available,Not Available,Not Available
Building materials market,لجپال بلڈنگ میٹیریل اینڈ سٹیل ورکس,Not Available,"XV22+MJ2, chakwall bhalla, Chakwal, 48800, Pakistan",Closed ⋅ Opens 6AM Sat,+92 349 5425142,https://lajpallpoint.blogspot.com/?m=1,5,4
Travel agency,JhamraTravels Pvt. Ltd.,Not Available,"PM55+JQ4, Jhamra Market, Miani Adda, Chakwal, Punjab 48800, Pakistan",Closed ⋅ Opens 9AM Sat,+92 543 586040,Not Available,5,1
International airport,Bacha Khan International Airport Peshawar,Not Available,"Airport Rd, Peshawar Cantonment, Peshawar, Khyber Pakhtunkhwa 24820, Pakistan",Not Available,+92 91 9211525,http://www.peshawarairport.com.pk/,4.1,3956
DS Automobiles dealer,KIA Motors Marshals,Not Available,"WQFF+F48, Air Base, Talagang Hwy, near Murid, Murid, Chakwal, Punjab 48800, Pakistan",Closes soon ⋅ 5:30PM ⋅ Opens 9AM Sat,+92 543 594200,https://kia-motors-marshals.business.site/?utm_source=gmb&utm_medium=referral,4.2,36
Bus stop,District Complex Bus Stop,Not Available,"Talagang Rd, Chakwal District Complex Chakwal, Punjab, Pakistan",Not Available,Not Available,Not Available,3.3,4
Travel agency,Al-Hadi International Travels,Not Available,"Sadwal Plaza, Talagang Rd - Bhon Rd Bypass, Chakwal, Punjab 48800, Pakistan",Closed ⋅ Opens 9AM Sat,+92 333 5924415,https://alhadiinternationaltravels.business.site/?utm_source=gmb&utm_medium=referral,4.8,4
Airport,"Muzaffarabad Airport,",Not Available,"8GR4+H84, Airport Rd, Muzaffarabad, Azad Jammu and Kashmir",Not Available,+92 347 5200918,Not Available,4.3,144
Kia dealer,Kia Motors Showroom,Not Available,"WQ74+F66, Zer Road, Murid, Chakwal, Punjab, Pakistan",Not Available,Not Available,Not Available,Not Available,Not Available
Appliance repair service,Zafar Cool Care,Not Available,"WVQ4+G93, Thaneel Rd, Chakwal, Punjab, Pakistan",Closed ⋅ Opens 9AM Sat,+92 333 5905123,Not Available,Not Available,Not Available
