Bussines Type,Bussines Name,Bussines Description,Bussines Address,Bussines Hours ,Bussines Phone ,Bussines Website ,Bussines Rating,Bussines Reviews
Bank,National Bank of Pakistan,Not Available,"Q3HW+XP4, Basharat, Chakwal, Punjab, Pakistan",Open ⋅ Closes 5PM,Not Available,https://www.nbp.com.pk/,4,5
Bank,National Bank of Pakistan (NBP) Islamic,Not Available,"WVM3+79H, Chakwal, Punjab, Pakistan",Open ⋅ Closes 4:30PM,+92 543 542175,http://www.nbp.com.pk/,4.2,6
Private sector bank,MCB,Not Available,"PRM7+6HH, Kallar Kahar-Choa Saidan Shah Rd, Khairpur, Punjab, Khairpur, Chakwal, Punjab, Pakistan",Open ⋅ Closes 5PM,Not Available,http://mcb.com.pk/,4.3,6
Bank,UBL bank branch Sohawa,Not Available,"R2Q3+44J, Chakwal, Punjab, Pakistan",Open now,Not Available,Not Available,5,2
Bank,Habib Bank & ATM,Not Available,"H2QV+6QJ, Balochan Rd, Pind Dadan Khan, Jhelum, Punjab, Pakistan",Open ⋅ Closes 5PM,+92 544 210232,http://www.hbl.com/,2.9,11
Bank,ALLIED BANK DHEEDWAL,Not Available,"VW6R+79M, Dheedwal, Chakwal, Punjab, Pakistan",Open now,+92 543 642011,Not Available,5,3
Bank,Habib Bank Limited Karyala,Not Available,"RVRH+Q2G, Karriala, Chakwal, Punjab, Pakistan",Open ⋅ Closes 5PM,Not Available,http://www.hbl.com/,5,2
Bank,National Bank of Pakistan,Not Available,"H2QV+Q9Q, Main Rd, Balochan Wala Pind Dadan Khan, Jhelum, Punjab, Pakistan",Open ⋅ Closes 12:30PM ⋅ Reopens 2PM,Not Available,https://www.nbp.com.pk/,4.3,9
Bank,United Bank Limited,Not Available,"VRMJ+P8Q, Vill. & P.O. Sadwal, Teh. & Dist, Sadwal, Chakwal, Punjab, Pakistan",Open ⋅ Closes 5PM,Not Available,Not Available,Not Available,Not Available
Bank,MCB,Not Available,"H2QV+9VX, ICI Office, Railway Rd, Shalimar Chowk, Kot Kalan, Pind Dadan Khan, Punjab, Pind Dadan Khan, Jhelum, Punjab, Pakistan",Open now,+92 992 373046,https://www.mcb.com.pk/,4,9
ATM,MCB ATM,Not Available,"J2P6+3PM, ICI Main Gate, پنڈادن خان چوآسیدن شاہ چکوال روڈ, Khewra, Jhelum, Punjab 49060, Pakistan",Open 24 hours,Not Available,Not Available,2.5,4
Bank,Bank Al Habib,Not Available,"Pind dadan Khan - Jhelum Rd, Hussain Abad Hussainabad, Pind Dadan Khah, Jhelum, Punjab, Pakistan",Not Available,Not Available,Not Available,4.5,2
Bank,HABIB BANK LIMITED,Not Available,"W379+96C, HBL khanpur branch, Khanpur, Chakwal, Punjab, Pakistan",Open ⋅ Closes 6PM,+92 543 583431,http://www.hbl.com/,3.4,7
Bank,Habib Bank Branch Toba,Not Available,"Pind Dadan Khan Road, Tobah, Jhelum, Punjab, Pakistan",Open ⋅ Closes 6PM,+92 544 215050,http://www.hbl.com/,4.3,8
ATM,ATM United Bank Ltd,Not Available,"VXVW+GR8, Moza Khothian, Chakwal, Punjab, Pakistan",Open 24 hours,+92 345 5775905,Not Available,4.3,3
Bank,The Bank of Punjab,Not Available,"H2RV+7HQ, Hussain Abad Hussainabad, Pind Dadan Khan, Jhelum, Punjab, Pakistan",Open now,Not Available,Not Available,4.5,2
ATM,MCB-ATM,Not Available,"PRH5+FW5, Chakwal, Punjab, Pakistan",Open 24 hours,+92 543 650015,Not Available,5,1
Bank,Pak Oman Microfinance Bank,Not Available,"WVF8+V9Q, Jhelum Rd, Chakwal, Punjab 48800, Pakistan",Open ⋅ Closes 5:30PM,+92 543 553495,Not Available,4,2
Bank,Khewra Salt Main Shop,Not Available,"J2V5+FG5, Khewra, Jhelum, Punjab, Pakistan",Open ⋅ Closes 5PM,+92 341 8400269,Not Available,4.4,5
ATM,MCB ATM,Not Available,"PRH5+2QF, Chakwal, Punjab, Pakistan",Open 24 hours,+92 543 650059,Not Available,4.3,3
ATM,Bank Alfalah,Not Available,"WVM7+866, Chakwal, Punjab, Pakistan",Open 24 hours,Not Available,http://www.bankalfalah.com/,3.4,7
